,Word,Count
1621,Getting,39
3416,nations,39
2527,talented,39
4418,cover,39
3101,Georgia,38
1277,Beautiful,38
2064,SC,38
2178,single,38
5136,everybody,38
1861,perhaps,38
5734,host,38
2642,lets,38
4733,field,38
2699,brought,38
4142,mention,38
5714,tuned,38
3426,Ivanka,38
3006,hold,38
1010,Kasich,38
3405,funny,38
5393,afternoon,38
5823,hurt,38
2860,ass,38
3358,tried,38
4823,lower,38
5239,War,38
1287,RUN,38
2922,community,38
6120,brilliant,38
4424,Rigged,38
3859,star,38
2549,Magazine,38
5637,Africa,38
5996,Pageant,38
6055,Much,38
2146,Intl,38
7088,Fantastic,38
5342,Going,37
2498,Their,37
1784,disgrace,37
2439,San,37
596,starts,37
3090,Greta,37
2525,Rosie,37
8219,Middle,37
406,tweeting,37
4054,hero,37
4866,ur,37
3392,trip,37
1734,house,37
4069,popular,37
11042,OPEC,37
1733,club,37
3021,threat,37
6749,Every,37
5976,illegally,37
1471,seem,37
1383,LOVE,37
3248,Hall,37
13517,imagine,37
758,Aberdeen,37
741,victims,37
7054,raised,37
5572,Did,37
4193,University,37
5082,Live,37
3629,meetings,37
8098,estate,37
2121,talks,37
318,Take,37
3740,Jeff,37
1421,serve,37
5080,demand,37
6171,youll,37
1889,Debate,37
3904,Indiana,37
3151,11,37
6220,mcuban,37
869,brave,37
2582,involved,37
6317,Had,36
2158,vision,36
1720,financial,36
5245,cool,36
5921,arrived,36
2272,role,36
2437,clean,36
5632,Nations,36
2022,keeping,36
8079,speaks,36
12060,NH,36
6363,Tariffs,36
1936,stock,36
3318,powerful,36
1481,citizens,36
1395,r,36
733,shot,36
4559,ON,36
3617,Clintons,36
761,NATO,36
804,u55357,36
3582,Has,36
810,u55356,36
840,hearing,36
4701,Muslim,36
3738,Dem,36
4719,MaraLago,36
999,Old,36
3380,drugs,36
1073,attention,36
1156,food,36
9615,NOTHING,36
1256,among,36
1258,CBS,36
3684,water,36
3026,courses,36
6579,OUR,36
3054,opportunities,36
338,wealth,36
342,worlds,36
4146,2018,36
3865,definitely,36
3834,expensive,36
4192,charge,36
4357,happens,36
3791,County,36
4009,Nothing,36
117,Sorry,36
4132,Hopefully,35
3216,decades,35
4925,Ireland,35
10758,agreed,35
8980,later,35
148,shouldnt,35
1295,courage,35
4998,ARE,35
7703,lawyer,35
2827,city,35
7748,recovery,35
1089,loss,35
2352,Were,35
3157,SAFE,35
5285,apologize,35
2556,trump2016,35
2135,Dollars,35
4714,greatly,35
1978,Act,35
7112,health,35
2578,broken,35
3708,facts,35
659,France,35
11503,MrTrump,35
579,GeraldoRivera,35
573,havent,35
9502,interests,35
6190,consider,35
4334,sick,35
3857,letter,35
855,staff,35
4637,perfect,35
862,deserves,35
6222,honest,35
3737,January,35
5460,return,35
784,careful,35
2962,illegals,35
3109,trust,35
3071,sending,35
6403,innocent,35
5107,Senators,35
5058,bet,35
3000,2014,35
3057,model,34
10377,ARod,34
161,storm,34
2137,Record,34
334,college,34
1405,opinion,34
5007,celebrate,34
5694,dropped,34
8085,Isnt,34
2444,process,34
434,Super,34
5303,premiums,34
2332,write,34
3835,solution,34
6547,Thursday,34
3743,defense,34
4440,putting,34
4399,Up,34
4905,drug,34
7162,works,34
1183,myself,34
69,ICYMI,34
2048,vs,34
1463,anyway,34
8176,Convention,34
1522,Next,34
279,mistakes,34
2651,Work,34
4663,opening,34
13235,saved,34
4638,terrorists,34
5964,EST,33
723,police,33
4363,lucky,33
458,prepared,33
9152,justice,33
1260,key,33
704,front,33
454,succeed,33
739,died,33
7378,S,33
4328,Dubai,33
8850,gun,33
4039,Joan,33
1652,King,33
3244,DRUDGEREPORT,33
1044,Japan,33
4786,Facebook,33
196,R,33
6771,concerning,33
2008,enemies,33
4828,Whats,33
1430,step,33
4441,boardroom,33
1162,hands,33
2547,fail,33
5812,MorningJoe,33
4850,Let,33
1451,Glad,33
4451,advantage,33
3414,corruption,33
3878,might,33
303,mother,33
8088,Warren,33
5831,terrorist,33
7747,reform,33
1893,17,33
7420,tonights,33
8218,handle,33
1419,Anthony,33
3747,points,32
5786,Puerto,32
5368,BE,32
1096,Peter,32
680,Nevada,32
673,yes,32
2600,dollar,32
3133,stuff,32
7552,enemy,32
2125,heading,32
4195,sources,32
2007,funding,32
6318,dinner,32
3950,Theres,32
3287,Attorney,32
3696,Tell,32
1879,difference,32
8909,30,32
1314,dummy,32
7863,Ronald,32
2190,85,32
4741,genius,32
2091,JOBS,32
7740,player,32
5771,became,32
4031,strongly,32
4183,negotiating,32
617,ClientThe,32
2358,Schneiderman,32
5684,simple,32
1346,air,32
7350,TrumpSoHo,32
5182,730,32
5471,Being,32
3217,lowest,32
10503,Saudi,32
5698,destroyed,32
1533,Oscars,32
5796,returns,32
4605,angry,32
5692,remain,32
2113,Afghanistan,32
1911,debates,32
7744,Oval,32
3675,immigrants,32
781,GDP,31
7830,shooting,31
1975,Total,31
5739,Council,31
9913,middle,31
8735,expect,31
3086,CPAC,31
6867,followers,31
2659,vacation,31
2759,AGSchneiderman,31
3039,Ford,31
1014,cutting,31
5322,officials,31
5324,AnnCoulter,31
5068,evidence,31
5787,Rico,31
2709,third,31
1731,TrumpScotland,31
6849,WWE,31
149,worry,31
3646,Tonight,31
905,Man,31
2703,relationship,31
4847,guess,31
1437,gotten,31
5927,Rove,31
10844,Oh,31
1630,supporting,31
4124,games,31
4392,uc0u55356,31
3925,rid,31
2115,Looks,31
3279,lied,31
2052,Over,31
2054,FEMA,31
5691,court,31
